date,close,open,high,low,volume,pct_change,daily_return,cumulative_return,drawdown,ma20,ma50,ma200
2018-07-23,464.0,466.0,479.0,460.0,1440.0,0.0087,0.0086956521739129,-0.0353430353430348,-0.0972762645914392,463.9525,476.4560000000001,
2018-07-24,465.2,464.5,470.05,464.0,34740.0,0.0026,0.0025862068965516,-0.0328482328482324,-0.0949416342412446,463.4625,475.94,
2018-07-25,468.95,470.0,470.0,465.0,21800.0,0.0081,0.0080610490111778,-0.0250519750519747,-0.0876459143968868,463.16,475.539,
2018-07-26,476.9,469.8,476.9,465.0,13250.0,0.017,0.0169527668194904,-0.0085239085239081,-0.0721789883268478,463.255,475.357,
2018-07-27,479.5,478.8,480.0,476.0,45500.0,0.0055,0.0054518767037115,-0.0031185031185027,-0.0671206225680929,463.73,475.287,
2018-07-31,473.0,478.0,478.0,473.0,46690.0,-0.0136,-0.0135557872784149,-0.0166320166320161,-0.07976653696498,463.93,475.1470000000001,
2018-08-01,468.0,470.0,473.0,468.0,55330.0,-0.0106,-0.0105708245243129,-0.0270270270270266,-0.089494163424124,464.2225,474.946,
2018-08-02,469.0,469.0,469.0,468.95,44970.0,0.0021,0.0021367521367521,-0.0249480249480246,-0.0875486381322954,464.5225,474.766,
2018-08-03,469.0,467.0,472.0,467.0,45040.0,0.0,0.0,-0.0249480249480246,-0.0875486381322954,464.8225000000001,474.606,
2018-08-06,465.0,466.0,469.0,461.0,10200.0,-0.0085,-0.0085287846481876,-0.0332640332640329,-0.0953307392996105,464.3275,474.366,
2018-08-07,468.0,465.0,468.0,465.0,18680.0,0.0065,0.0064516129032257,-0.0270270270270267,-0.0894941634241242,464.37750000000005,473.97,
2018-08-08,470.0,470.0,475.0,464.0,12790.0,0.0043,0.0042735042735042,-0.0228690228690225,-0.0856031128404666,464.37750000000005,473.82700000000006,
2018-08-09,470.0,468.0,470.0,465.0,3280.0,0.0,0.0,-0.0228690228690225,-0.0856031128404666,464.775,473.649,
2018-08-10,474.9,475.0,475.0,470.0,37690.0,0.0104,0.0104255319148935,-0.0126819126819124,-0.0760700389105055,465.4225,473.526,
2018-08-13,470.0,470.05,470.05,465.0,6500.0,-0.0103,-0.0103179616761422,-0.0228690228690225,-0.0856031128404666,465.925,473.225,
2018-08-15,470.0,465.7,470.0,465.7,6690.0,0.0,0.0,-0.0228690228690225,-0.0856031128404666,466.625,472.915,
2018-08-16,470.1,470.0,470.1,467.0,15880.0,0.0002,0.0002127659574469,-0.0226611226611223,-0.0854085603112836,467.48,472.655,
2018-08-17,473.0,467.15,473.0,467.15,5170.0,0.0062,0.0061689002339926,-0.0166320166320164,-0.0797665369649802,468.8275,472.453,
